Id,TotalPlaces,PromotionPlaces,RelegationPlaces,PlayOffPlaces,RelegationPlayOffPlaces,ReElectionPlaces,FailedReElectionPosition,PointsForWin
3,12,0,0,0,0,3,12,2
4,12,0,0,0,0,4,,2
5,12,0,0,3,0,4,,2
6,14,0,0,0,0,4,14,2
7,15,0,0,3,0,4,15,2
8,16,0,0,0,2,0,,2
9,16,0,0,0,3,0,,2
10,16,0,0,2,0,3,,2
11,16,0,0,2,0,3,15,2
12,16,0,0,2,0,3,16,2
13,16,0,0,3,0,4,14,2
14,18,0,0,0,0,0,,2
15,18,0,2,0,0,0,,2
16,18,2,0,0,0,3,,2
17,18,2,0,0,0,3,16,2
18,18,2,0,0,0,3,18,2
19,18,2,0,0,0,3,20,2
20,20,0,1,0,0,0,,2
21,20,0,2,0,0,0,,2
22,20,0,2,0,0,0,,3
23,20,0,3,0,0,0,,3
24,20,1,0,0,0,2,,2
25,20,2,0,0,0,3,,2
26,20,2,0,0,0,3,19,2
27,20,2,0,0,0,3,20,2
28,21,0,3,0,1,0,,3
29,21,1,0,0,0,2,,2
30,22,0,0,0,0,0,,2
31,22,0,2,0,0,0,,2
32,22,0,3,0,0,0,,2
33,22,0,3,0,0,0,,3
34,22,0,3,0,1,0,,3
35,22,0,4,0,0,0,,3
36,22,1,0,0,0,2,,2
37,22,1,0,0,0,2,21,2
38,22,1,0,0,0,2,22,2
39,22,1,0,0,0,3,,2
40,22,2,0,4,0,0,,3
41,22,2,1,0,0,0,,2
42,22,2,1,0,0,2,21,2
43,22,2,2,0,0,0,,2
44,22,2,2,3,1,0,,3
45,22,3,0,4,0,0,,3
46,22,3,1,4,0,0,,3
47,22,3,3,0,0,0,,2
48,22,3,3,0,0,0,,3
49,23,2,2,3,1,0,,3
50,23,2,3,4,0,0,,3
51,23,4,0,0,0,3,,2
52,24,1,0,0,0,2,,2
53,24,1,0,0,0,2,24,2
54,24,1,4,4,0,0,,3
55,24,1,5,4,0,0,,3
56,24,2,3,3,1,0,,3
57,24,2,3,4,0,0,,3
58,24,2,4,0,0,0,,2
59,24,2,4,4,0,0,,3
60,24,3,0,4,0,0,,3
61,24,3,1,3,0,0,,3
62,24,3,1,4,0,0,,3
63,24,3,2,4,0,0,,3
64,24,3,3,4,0,0,,3
65,24,3,4,0,0,0,,2
66,24,3,4,0,0,0,,3
67,24,4,0,0,0,4,,2
68,24,4,0,0,0,4,,3
69,24,4,0,0,0,4,22,2
70,24,4,0,0,0,4,23,2
71,24,4,0,0,0,4,24,2
72,24,4,0,4,0,0,,3
74,24,1,12,0,0,0,,2
