Id,CompetitionId,TeamId,Position,Status
1,481,95,12,Re-elected
2,481,73,11,Re-elected
3,481,37,10,Re-elected
4,481,19,9,Re-elected
5,481,39,8,
6,481,142,7,
7,481,104,6,
8,481,12,5,
9,481,10,4,
10,481,108,3,
11,481,6,2,
12,481,80,1,Champions
13,482,95,12,Failed Re-election
14,482,19,11,Re-elected
15,482,73,10,Re-elected
16,482,12,9,
17,482,6,8,
18,482,37,7,
19,482,142,6,
20,482,104,5,
21,482,108,4,
22,482,10,3,
23,482,39,2,
24,482,80,1,Champions
25,483,104,12,Re-elected
26,483,37,11,Re-elected
27,483,142,10,Re-elected
28,483,6,9,Re-elected
29,483,19,8,
30,483,96,7,
31,483,10,6,
32,483,12,5,
33,483,108,4,
34,483,73,3,
35,483,80,2,
36,483,39,1,Champions
37,484,136,14,Failed Re-election
38,484,95,13,Re-elected
39,484,104,12,Re-elected
40,484,142,11,Re-elected
41,484,37,10,
42,484,10,9,
43,484,73,8,
44,484,19,7,
45,484,108,6,
46,484,39,5,
47,484,6,4,
48,484,12,3,
49,484,80,2,
50,484,96,1,Champions
51,485,61,16,Relegated - PlayOffs
52,485,142,15,Relegated - PlayOffs
53,485,73,14,Relegated - PlayOffs
54,485,37,13,
55,485,89,12,
56,485,108,11,
57,485,72,10,
58,485,10,9,
59,485,104,8,
60,485,95,7,
61,485,19,6,
62,485,12,5,
63,485,6,4,
64,485,39,3,
65,485,80,2,
66,485,96,1,Champions
67,486,102,12,Re-elected
68,486,78,11,Re-elected
69,486,33,10,Re-elected
70,486,56,9,Re-elected
71,486,141,8,
72,486,139,7,
73,486,133,6,
74,486,60,5,
75,486,45,4,
76,486,136,3,PlayOffs
77,486,88,2,PlayOffs
78,486,9,1,Champions
79,487,61,16,Relegated - PlayOffs
80,487,136,15,Relegated - PlayOffs
81,487,80,14,Relegated - PlayOffs
82,487,12,13,
83,487,89,12,
84,487,95,11,
85,487,88,10,
86,487,108,9,
87,487,104,8,
88,487,72,7,
89,487,39,6,
90,487,19,5,
91,487,10,4,
92,487,37,3,
93,487,96,2,
94,487,6,1,Champions
95,488,139,15,Failed Re-election
96,488,138,14,Re-elected
97,488,60,13,Re-elected
98,488,33,12,Re-elected
99,488,140,11,
100,488,102,10,
101,488,5,9,
102,488,56,8,
103,488,78,7,
104,488,133,6,
105,488,45,5,
106,488,68,4,
107,488,73,3,PlayOffs
108,488,9,2,PlayOffs
109,488,57,1,Champions
110,489,57,16,Relegated - PlayOffs
111,489,37,15,Relegated - PlayOffs
112,489,95,14,Relegated - PlayOffs
113,489,104,13,
114,489,9,12,
115,489,108,11,
116,489,12,10,
117,489,19,9,
118,489,89,8,
119,489,72,7,
120,489,88,6,
121,489,10,5,
122,489,80,4,
123,489,6,3,
124,489,39,2,
125,489,96,1,Champions
126,490,33,16,Re-elected
127,490,78,15,Re-elected
128,490,102,14,Failed Re-election
129,490,56,13,Re-elected
130,490,138,12,
131,490,133,11,
132,490,68,10,
133,490,60,9,
134,490,5,8,
135,490,137,7,
136,490,136,6,
137,490,45,5,
138,490,54,4,
139,490,61,3,PlayOffs
140,490,73,2,PlayOffs
141,490,21,1,Champions
142,491,104,16,Relegated - PlayOffs
143,491,9,15,Relegated - PlayOffs
144,491,108,14,
145,491,72,13,
146,491,88,12,
147,491,21,11,
148,491,19,10,
149,491,80,9,
150,491,10,8,
151,491,89,7,
152,491,95,6,
153,491,96,5,
154,491,12,4,
155,491,39,3,
156,491,37,2,
157,491,6,1,Champions
158,492,33,16,Failed Re-election
159,492,138,15,Re-elected
160,492,78,14,Re-elected
161,492,56,13,
162,492,135,12,
163,492,133,11,
164,492,73,10,
165,492,136,9,
166,492,54,8,
167,492,5,7,
168,492,61,6,
169,492,68,5,
170,492,137,4,
171,492,45,3,
172,492,60,2,PlayOffs
173,492,57,1,Champions
174,493,19,16,Relegated - PlayOffs
175,493,96,15,Relegated - PlayOffs
176,493,10,14,
177,493,95,13,
178,493,104,12,
179,493,72,11,
180,493,108,10,
181,493,21,9,
182,493,12,8,
183,493,39,7,
184,493,89,6,
185,493,57,5,
186,493,80,4,
187,493,37,3,
188,493,88,2,
189,493,6,1,Champions
190,494,56,16,Re-elected
191,494,137,15,Failed Re-election
192,494,133,14,Re-elected
193,494,135,13,
194,494,102,12,
195,494,136,11,
196,494,5,10,
197,494,54,9,
198,494,11,8,
199,494,132,7,
200,494,60,6,
201,494,68,5,
202,494,9,4,
203,494,45,3,
204,494,61,2,PlayOffs
205,494,73,1,Champions
206,495,95,16,Relegated - PlayOffs
207,495,10,15,Relegated - PlayOffs
208,495,21,14,
209,495,73,13,
210,495,80,12,
211,495,12,11,
212,495,37,10,
213,495,57,9,
214,495,72,8,
215,495,104,7,
216,495,6,6,
217,495,89,5,
218,495,39,4,
219,495,108,3,
220,495,96,2,
221,495,88,1,Champions
222,496,135,16,Re-elected
223,496,136,15,Re-elected
224,496,56,14,Re-elected
225,496,133,13,
226,496,45,12,
227,496,11,11,
228,496,102,10,
229,496,132,9,
230,496,58,8,
231,496,54,7,
232,496,9,6,
233,496,5,5,
234,496,61,4,
235,496,60,3,
236,496,68,2,PlayOffs
237,496,19,1,Champions
238,497,89,18,Relegated
239,497,12,17,Relegated
240,497,88,16,
241,497,80,15,
242,497,104,14,
243,497,68,13,
244,497,95,12,
245,497,72,11,
246,497,21,10,
247,497,37,9,
248,497,108,8,
249,497,96,7,
250,497,10,6,
251,497,73,5,
252,497,39,4,
253,497,19,3,
254,497,57,2,
255,497,6,1,Champions
256,498,136,18,Failed Re-election
257,498,135,17,Re-elected
258,498,11,16,Re-elected
259,498,58,15,
260,498,132,14,
261,498,133,13,
262,498,56,12,
263,498,8,11,
264,498,45,10,
265,498,78,9,
266,498,9,8,
267,498,5,7,
268,498,102,6,
269,498,134,5,
270,498,61,4,
271,498,54,3,
272,498,131,2,Promoted
273,498,60,1,Champions
274,499,131,18,Relegated
275,499,19,17,Relegated
276,499,80,16,
277,499,73,15,
278,499,10,14,
279,499,104,13,
280,499,21,12,
281,499,39,11,
282,499,57,10,
283,499,95,9,
284,499,72,8,
285,499,60,7,
286,499,37,6,
287,499,68,5,
288,499,108,4,
289,499,96,3,
290,499,88,2,
291,499,6,1,Champions
292,500,135,18,Failed Re-election
293,500,58,17,Re-elected
294,500,8,16,Re-elected
295,500,133,15,
296,500,64,14,
297,500,132,13,
298,500,102,12,
299,500,78,11,
300,500,134,10,
301,500,56,9,
302,500,5,8,
303,500,29,7,
304,500,45,6,
305,500,54,5,
306,500,61,4,
307,500,9,3,
308,500,12,2,Promoted
309,500,89,1,Champions
310,501,104,18,Relegated
311,501,80,17,Relegated
312,501,95,16,
313,501,6,15,
314,501,88,14,
315,501,108,13,
316,501,37,12,
317,501,60,11,
318,501,12,10,
319,501,10,9,
320,501,89,8,
321,501,39,7,
322,501,68,6,
323,501,21,5,
324,501,72,4,
325,501,73,3,
326,501,96,2,
327,501,57,1,Champions
328,502,133,18,Re-elected
329,502,94,17,Re-elected
330,502,102,16,Failed Re-election
331,502,8,15,
332,502,29,14,
333,502,132,13,
334,502,11,12,
335,502,54,11,
336,502,61,10,
337,502,78,9,
338,502,56,8,
339,502,5,7,
340,502,64,6,
341,502,131,5,
342,502,134,4,
343,502,19,3,
344,502,9,2,Promoted
345,502,45,1,Champions
346,503,60,18,Relegated
347,503,9,17,Relegated
348,503,95,16,
349,503,45,15,
350,503,108,14,
351,503,73,13,
352,503,12,12,
353,503,57,11,
354,503,88,10,
355,503,89,9,
356,503,6,8,
357,503,21,7,
358,503,37,6,
359,503,72,5,
360,503,10,4,
361,503,68,3,
362,503,39,2,
363,503,96,1,Champions
364,504,132,18,Re-elected
365,504,94,17,Re-elected
366,504,29,16,Re-elected
367,504,61,15,
368,504,54,14,
369,504,11,13,
