Id,StartYear,EndYear,Comment
1,1888,1889,
2,1889,1890,
3,1890,1891,
4,1891,1892,
5,1892,1893,
6,1893,1894,
7,1894,1895,
8,1895,1896,
9,1896,1897,
10,1897,1898,
11,1898,1899,
12,1899,1900,
13,1900,1901,
14,1901,1902,
15,1902,1903,
16,1903,1904,
17,1904,1905,
18,1905,1906,
19,1906,1907,
20,1907,1908,
21,1908,1909,
22,1909,1910,
23,1910,1911,
24,1911,1912,
25,1912,1913,
26,1913,1914,
27,1914,1915,
28,1919,1920,
29,1920,1921,
30,1921,1922,
31,1922,1923,
32,1923,1924,
33,1924,1925,
34,1925,1926,
35,1926,1927,
36,1927,1928,
37,1928,1929,
38,1929,1930,
39,1930,1931,
40,1931,1932,
41,1932,1933,
42,1933,1934,
43,1934,1935,
44,1935,1936,
45,1936,1937,
46,1937,1938,
47,1938,1939,
48,1939,1940,Abandoned after 3 matches due to World War II
49,1940,1941,Not started due to World War II
50,1941,1942,Not started due to World War II
51,1942,1943,Not started due to World War II
52,1943,1944,Not started due to World War II
53,1944,1945,Not started due to World War II
54,1945,1946,Not started due to World War II
55,1946,1947,
56,1947,1948,
57,1948,1949,
58,1949,1950,
59,1950,1951,
60,1951,1952,
61,1952,1953,
62,1953,1954,
63,1954,1955,
64,1955,1956,
65,1956,1957,
66,1957,1958,
67,1958,1959,
68,1959,1960,
69,1960,1961,
70,1961,1962,
71,1962,1963,
72,1963,1964,
73,1964,1965,
74,1965,1966,
75,1966,1967,
76,1967,1968,
77,1968,1969,
78,1969,1970,
79,1970,1971,
80,1971,1972,
81,1972,1973,
82,1973,1974,
83,1974,1975,
84,1975,1976,
85,1976,1977,
86,1977,1978,
87,1978,1979,
88,1979,1980,
89,1980,1981,
90,1981,1982,
91,1982,1983,
92,1983,1984,
93,1984,1985,
94,1985,1986,
95,1986,1987,
96,1987,1988,
97,1988,1989,
98,1989,1990,
99,1990,1991,
100,1991,1992,
101,1992,1993,
102,1993,1994,
103,1994,1995,
104,1995,1996,
105,1996,1997,
106,1997,1998,
107,1998,1999,
108,1999,2000,
109,2000,2001,
110,2001,2002,
111,2002,2003,
112,2003,2004,
113,2004,2005,
114,2005,2006,
115,2006,2007,
116,2007,2008,
117,2008,2009,
118,2009,2010,
119,2010,2011,
120,2011,2012,
121,2012,2013,
122,2013,2014,
123,2014,2015,
124,2015,2016,
125,2016,2017,
126,2017,2018,
127,2018,2019,
128,2019,2020,Paused in March due to Covid-19 before resuming in June
129,2020,2021,
130,1915,1916,Not started due to World War I
131,1916,1917,Not started due to World War I
132,1917,1918,Not started due to World War I
133,1918,1919,Not started due to World War I
135,2021,2022,
